version,commit,endpoint,round,concurrency,requests,requests_per_second,latency_mean_ms,latency_p95_ms,error_rate_percent,cpu_mean_percent,cpu_peak_percent,memory_mean_mib,memory_peak_mib,resource_samples
before,4d3f470db5fb9a8d4366950fe42943f90bb69584,hotel-destinations,1,32,188506,6282.562556174847,5.091206432516737,9.56369525,0.0,638.5914285714287,828.07,3160.243714285714,3532.316,14
before,4d3f470db5fb9a8d4366950fe42943f90bb69584,hotel-destinations,2,32,195181,6505.092082305323,4.916797146084916,9.025171,0.0,568.1446666666667,824.3199999999999,3053.9672,3229.66,15
before,4d3f470db5fb9a8d4366950fe42943f90bb69584,hotel-destinations,3,32,193751,6457.506892667459,4.952866760109625,9.0661625,0.0,563.4846666666667,821.56,3243.9696,3245.418,15
before,4d3f470db5fb9a8d4366950fe42943f90bb69584,hotel-details,1,32,185241,6173.807007621705,5.180375732121938,8.353493,0.0,610.9857142857143,823.48,2577.085714285714,2584.25,14
before,4d3f470db5fb9a8d4366950fe42943f90bb69584,hotel-details,2,32,186309,6209.419629973824,5.1507279440928775,8.309193,0.0,602.4157142857142,823.41,3236.2982857142856,3243.294,14
before,4d3f470db5fb9a8d4366950fe42943f90bb69584,hotel-details,3,32,186762,6224.519451469572,5.138091538471423,8.301862349999999,0.0,605.3571428571429,825.59,3246.516,3248.3779999999997,14
before,4d3f470db5fb9a8d4366950fe42943f90bb69584,hotel-search,1,32,36302,1209.1116853911446,26.44477476384221,38.528874499999986,0.0,611.275,851.42,2553.452857142857,2575.16,14
before,4d3f470db5fb9a8d4366950fe42943f90bb69584,hotel-search,2,32,37541,1250.3964370123424,25.57201340025572,31.18858,0.0,598.0878571428572,813.59,3229.409714285714,3230.86,14
before,4d3f470db5fb9a8d4366950fe42943f90bb69584,hotel-search,3,32,37542,1250.441526738614,25.572158950482127,31.080174649999993,0.0,566.3860000000001,809.37,3245.186666666667,3246.084,15
current,e2b9bbc65f163fa7e29ffb2587fc88cfec0e884d,hotel-destinations,1,32,184623,6153.166646049664,5.197863047036393,9.8666262,0.0,602.1813333333333,821.9100000000001,2947.9680000000003,3300.1839999999997,15
current,e2b9bbc65f163fa7e29ffb2587fc88cfec0e884d,hotel-destinations,2,32,192102,6402.431285888403,4.995319937413457,9.1868665,0.0,607.0835714285714,822.07,2821.538857142857,3009.364,14
current,e2b9bbc65f163fa7e29ffb2587fc88cfec0e884d,hotel-destinations,3,32,192366,6411.341093137231,4.989768033883327,9.171638,0.0,607.2871428571428,817.87,3026.272571428571,3031.828,14
current,e2b9bbc65f163fa7e29ffb2587fc88cfec0e884d,hotel-details,1,32,278226,9273.205774794462,3.4491176675113038,5.4801417500000005,0.0,609.2914285714286,825.45,2353.0642857142857,2355.0,14
current,e2b9bbc65f163fa7e29ffb2587fc88cfec0e884d,hotel-details,2,32,271942,9063.795317847167,3.5285362323105662,5.674884299999995,0.0,604.5607142857143,821.9100000000001,3018.54,3024.6279999999997,14
current,e2b9bbc65f163fa7e29ffb2587fc88cfec0e884d,hotel-details,3,32,280857,9360.917576679158,3.4164250570325825,5.413396800000001,0.0,606.5035714285714,824.86,3027.3165714285715,3028.952,14
current,e2b9bbc65f163fa7e29ffb2587fc88cfec0e884d,hotel-search,1,32,87344,2910.584518954514,10.98885936103224,17.522392699999983,0.0,626.8335714285714,828.46,2342.7642857142855,2352.0,14
current,e2b9bbc65f163fa7e29ffb2587fc88cfec0e884d,hotel-search,2,32,86469,2881.3675153075096,11.101426227445673,17.720822999999996,0.0,601.7071428571428,818.9,3010.306857142857,3010.864,14
current,e2b9bbc65f163fa7e29ffb2587fc88cfec0e884d,hotel-search,3,32,89650,2987.328158449972,10.705653299743446,17.053717400000004,0.0,607.6171428571428,820.0600000000001,3025.8382857142856,3027.152,14
