idHotel	name	description	price	idAsUUID
0	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	360	09f90db6-8bdf-2a0e-56c3-79119462c395
0	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	540	f6002a8f-f02e-311d-6c9d-ff857d9928c8
0	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	820	a80664e2-a90d-40c6-e787-775c7b9bc757
1	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	397	cedb83c1-83fd-9807-af2c-dc902c6859ea
1	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	577	d5d9f81a-611e-1deb-2542-4d99dcf99481
1	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	857	15be315e-8738-b36a-d04e-fba2b140aad1
2	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	434	930e6b90-af74-21ed-41da-8e47d03f5523
2	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	614	202a02f2-9935-a91a-3112-6612d2d18157
2	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	894	3f9af203-8296-29bf-da2c-2d3099ed5372
3	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	471	772a893d-db35-518f-b5e4-8efd2c0befef
3	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	651	e19fde35-cd1c-e0be-7411-d20641613d73
3	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	931	fc955b74-3584-671e-6d14-5c608cf3535a
4	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	508	be2f3c9e-4374-673b-5a40-218248090552
4	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	688	bc86ea81-1e65-befb-af8d-8fd1ba1a2172
4	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	968	915e220b-9770-a020-2735-3bca97e19290
5	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	545	f8ffe2b1-011f-0b51-e34d-ab599f30a9b4
5	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	725	b3a637ae-ab87-32a6-02f6-47e7e7cf8c5d
5	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	1005	0b72c6d8-adfc-314e-bc0b-a3b5440aaac6
6	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	582	cb1f23df-1058-7e02-c412-6777e28666e2
6	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	762	f7403765-e293-e5eb-1d51-2e076d8abbd0
6	家庭套房 3 os. + 1 dostawka	45-60平方米, 可加床, 适合亲子家庭和多人结伴出游。	1042	f791e268-3679-0655-5288-8603730ada72
7	雅致单人房 1 os.	18-24平方米, 独立卫浴, 城市景观, 适合单人短住和商务出行。	619	67428965-fb2b-cb85-d080-a056f1309842
7	高级大床房 2 os.	28-36平方米, 大床或双床, 含基础洗护与行李寄存服务。	799	dc532fbf-37c8-6a19-e151-05cd54b83523
