idHotel	foodOption	rating
0	All inclusive	4.3
1	Full board plus	4.8
2	Half board plus	4.5
3	All inclusive	5.0
4	Full board plus	4.7
5	Half board plus	4.4
6	All inclusive	4.9
7	Full board plus	4.6
8	Half board plus	4.3
9	All inclusive	4.8
10	Full board plus	4.5
11	Half board plus	5.0
12	All inclusive	4.7
13	Full board plus	4.4
14	Half board plus	4.9
15	All inclusive	4.6
16	Full board plus	4.3
17	Half board plus	4.8
18	All inclusive	4.5
19	Full board plus	5.0
20	Half board plus	4.7
21	All inclusive	4.4
22	Full board plus	4.9
23	Half board plus	4.6
24	All inclusive	4.3
25	Full board plus	4.8
26	Half board plus	4.5
27	All inclusive	5.0
28	Full board plus	4.7
29	Half board plus	4.4
30	All inclusive	4.9
31	Full board plus	4.6
32	Half board plus	4.3
33	All inclusive	4.8
34	Full board plus	4.5
35	Half board plus	5.0
36	All inclusive	4.7
37	Full board plus	4.4
38	Half board plus	4.9
39	All inclusive	4.6
40	Full board plus	4.3
41	Half board plus	4.8
42	All inclusive	4.5
43	Full board plus	5.0
44	Half board plus	4.7
45	All inclusive	4.4
46	Full board plus	4.9
47	Half board plus	4.6
48	All inclusive	4.3
49	Full board plus	4.8
50	Half board plus	4.5
51	All inclusive	5.0
52	Full board plus	4.7
53	Half board plus	4.4
54	All inclusive	4.9
55	Full board plus	4.6
56	Half board plus	4.3
57	All inclusive	4.8
58	Full board plus	4.5
59	Half board plus	5.0
60	All inclusive	4.7
61	Full board plus	4.4
62	Half board plus	4.9
63	All inclusive	4.6
64	Full board plus	4.3
65	Half board plus	4.8
66	All inclusive	4.5
67	Full board plus	5.0
