idHotel	name	description	price	id	guest_capacity	room_type
0	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	584	1	3	SUITE
0	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	477	2	2	DOUBLE
0	标准间	标准间，简洁整洁，设施完备，高性价比之选。	294	3	2	STANDARD
1	标准间	标准间，简洁整洁，设施完备，高性价比之选。	249	4	2	STANDARD
1	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	632	5	3	SUITE
2	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	420	6	2	DOUBLE
2	标准间	标准间，简洁整洁，设施完备，高性价比之选。	317	7	2	STANDARD
2	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	850	8	3	SUITE
3	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	357	9	2	DOUBLE
3	标准间	标准间，简洁整洁，设施完备，高性价比之选。	299	10	2	STANDARD
4	标准间	标准间，简洁整洁，设施完备，高性价比之选。	204	11	2	STANDARD
4	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	727	12	3	SUITE
5	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	275	13	2	DOUBLE
5	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	523	14	3	SUITE
5	标准间	标准间，简洁整洁，设施完备，高性价比之选。	189	15	2	STANDARD
6	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	409	16	2	DOUBLE
6	标准间	标准间，简洁整洁，设施完备，高性价比之选。	280	17	2	STANDARD
7	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	566	18	3	SUITE
7	标准间	标准间，简洁整洁，设施完备，高性价比之选。	301	19	2	STANDARD
7	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	432	20	2	DOUBLE
8	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	797	21	3	SUITE
8	标准间	标准间，简洁整洁，设施完备，高性价比之选。	181	22	2	STANDARD
8	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	414	23	2	DOUBLE
9	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	267	24	2	DOUBLE
9	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	741	25	3	SUITE
9	标准间	标准间，简洁整洁，设施完备，高性价比之选。	195	26	2	STANDARD
10	标准间	标准间，简洁整洁，设施完备，高性价比之选。	294	27	2	STANDARD
10	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	284	28	2	DOUBLE
10	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	818	29	3	SUITE
11	标准间	标准间，简洁整洁，设施完备，高性价比之选。	277	30	2	STANDARD
11	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	702	31	3	SUITE
11	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	381	32	2	DOUBLE
12	标准间	标准间，简洁整洁，设施完备，高性价比之选。	271	33	2	STANDARD
12	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	506	34	3	SUITE
12	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	407	35	2	DOUBLE
13	标准间	标准间，简洁整洁，设施完备，高性价比之选。	225	36	2	STANDARD
13	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	838	37	3	SUITE
13	大床房	大床房，配备舒适大床，温馨静谧，适合休闲度假。	300	38	2	DOUBLE
14	行政套房	行政套房，空间宽敞，配套齐全，尊享舒适入住体验。	715	39	3	SUITE
