IATA	name
PEK	北京首都国际机场
PKX	北京大兴国际机场
SHA	上海虹桥国际机场
PVG	上海浦东国际机场
CAN	广州白云国际机场
SZX	深圳宝安国际机场
CTU	成都双流国际机场
TFU	成都天府国际机场
CKG	重庆江北国际机场
XIY	西安咸阳国际机场
HGH	杭州萧山国际机场
CSX	长沙黄花国际机场
WUH	武汉天河国际机场
CGO	郑州新郑国际机场
KMG	昆明长水国际机场
XMN	厦门高崎国际机场
NKG	南京禄口国际机场
TNA	济南遥墙国际机场
DLC	大连周水子国际机场
FOC	福州长乐国际机场
HRB	哈尔滨太平国际机场
SHE	沈阳桃仙国际机场
TSN	天津滨海国际机场
SYX	三亚凤凰国际机场
HAK	海口美兰国际机场
URC	乌鲁木齐地窝堡国际机场
KWE	贵阳龙洞堡国际机场
HET	呼和浩特白塔国际机场
NNG	南宁吴圩国际机场
LHW	兰州中川国际机场
HFE	合肥新桥国际机场
TYN	太原武宿国际机场
CGQ	长春龙嘉国际机场
NGB	宁波栎社国际机场
WNZ	温州龙湾国际机场
SJW	石家庄正定国际机场
XNN	西宁曹家堡国际机场
INC	银川河东国际机场
LXA	拉萨贡嘎国际机场
YNT	烟台蓬莱国际机场
SWA	揭阳潮汕国际机场
WUX	无锡硕放机场
ZZH	珠海金湾机场
JJN	泉州晋江国际机场
CZX	常州奔牛国际机场
XUZ	徐州观音国际机场
NTG	南通兴东国际机场
YTY	扬州泰州国际机场
LJG	丽江三义国际机场
JZH	九寨黄龙机场
JHG	西双版纳嘎洒国际机场
KWL	桂林两江国际机场
MIG	绵阳南郊机场
YIH	宜昌三峡机场
ZHA	湛江吴川机场
LZH	柳州白莲机场
BHY	北海福成机场
WEH	威海大水泊国际机场
LYI	临沂启阳机场
DSN	鄂尔多斯伊金霍洛国际机场
HLD	呼伦贝尔海拉尔机场
BAV	包头东河机场
KHG	喀什徕宁国际机场
YIN	伊宁机场
KRL	库尔勒梨城机场
AKU	阿克苏红旗坡机场
HTN	和田昆冈机场
DLU	大理凤仪机场
TCZ	腾冲驼峰机场
LUM	德宏芒市机场
SYM	普洱思茅机场
YCU	运城张孝机场
DAT	大同云冈机场
MDG	牡丹江海浪国际机场
JMU	佳木斯东郊机场
NDG	齐齐哈尔三家子机场
OHE	漠河古莲机场
DQA	大庆萨尔图机场
YNJ	延吉朝阳川国际机场
NBS	长白山机场
DDG	丹东浪头机场
BPE	秦皇岛北戴河机场
HIA	淮安扬州泰州机场
JGS	井冈山机场
TXN	黄山屯溪国际机场
JUH	池州九华山机场
HDG	邯郸涟水机场
HYN	台州扬泰机场
DAT	大同云冈机场
DOY	东营兰旗机场
JIQ	黔江保安营机场
AAT	阿勒泰机场
