type	departureCityId	arrivalCityId	departureStationCode	departureTerminalName	arrivalStationCode	arrivalTerminalName	departureDateTime	arrivalDateTime	carrier	code	seatClass	price	remainingSeats	totalSeats
FLIGHT	C039	C005	PEK	T3	PVG	T2	2026-06-11T17:20:00	2026-06-11T19:45:00	中国国航	CA7000	经济舱	520	36	36
FLIGHT	C039	C005	PEK	T3	PVG	T2	2026-06-11T17:20:00	2026-06-11T19:45:00	中国国航	CA7000	公务舱	1350	8	8
FLIGHT	C039	C005	PKX	T2	SHA	T2	2026-06-11T18:45:00	2026-06-11T21:10:00	中国国航	CA7001	经济舱	520	35	36
FLIGHT	C039	C005	PKX	T2	SHA	T2	2026-06-11T18:45:00	2026-06-11T21:10:00	中国国航	CA7001	公务舱	1350	7	8
FLIGHT	C039	C005	PEK	T3	PVG	T2	2026-06-11T20:10:00	2026-06-11T22:35:00	中国国航	CA7002	经济舱	520	34	36
FLIGHT	C039	C005	PEK	T3	PVG	T2	2026-06-11T20:10:00	2026-06-11T22:35:00	中国国航	CA7002	公务舱	1350	6	8
FLIGHT	C039	C005	PKX	T2	SHA	T2	2026-06-11T21:35:00	2026-06-12T00:00:00	中国国航	CA7003	经济舱	520	33	36
FLIGHT	C039	C005	PKX	T2	SHA	T2	2026-06-11T21:35:00	2026-06-12T00:00:00	中国国航	CA7003	公务舱	1350	5	8
FLIGHT	C005	C039	SHA	T2	PKX	T2	2026-06-11T17:20:00	2026-06-11T19:45:00	东方航空	MU7010	经济舱	520	35	36
FLIGHT	C005	C039	SHA	T2	PKX	T2	2026-06-11T17:20:00	2026-06-11T19:45:00	东方航空	MU7010	公务舱	1350	7	8
FLIGHT	C005	C039	PVG	T2	PEK	T3	2026-06-11T18:45:00	2026-06-11T21:10:00	东方航空	MU7011	经济舱	520	34	36
FLIGHT	C005	C039	PVG	T2	PEK	T3	2026-06-11T18:45:00	2026-06-11T21:10:00	东方航空	MU7011	公务舱	1350	6	8
FLIGHT	C005	C039	SHA	T2	PKX	T2	2026-06-11T20:10:00	2026-06-11T22:35:00	东方航空	MU7012	经济舱	520	33	36
FLIGHT	C005	C039	SHA	T2	PKX	T2	2026-06-11T20:10:00	2026-06-11T22:35:00	东方航空	MU7012	公务舱	1350	5	8
FLIGHT	C005	C039	PVG	T2	PEK	T3	2026-06-11T21:35:00	2026-06-12T00:00:00	东方航空	MU7013	经济舱	520	32	36
FLIGHT	C005	C039	PVG	T2	PEK	T3	2026-06-11T21:35:00	2026-06-12T00:00:00	东方航空	MU7013	公务舱	1350	8	8
FLIGHT	C039	C112	PEK	T3	CAN	T2	2026-06-11T17:20:00	2026-06-11T20:35:00	中国国航	CA7020	经济舱	720	34	36
FLIGHT	C039	C112	PEK	T3	CAN	T2	2026-06-11T17:20:00	2026-06-11T20:35:00	中国国航	CA7020	公务舱	1870	6	8
FLIGHT	C039	C112	PKX	T2	CAN	T2	2026-06-11T18:45:00	2026-06-11T22:00:00	中国国航	CA7021	经济舱	720	33	36
FLIGHT	C039	C112	PKX	T2	CAN	T2	2026-06-11T18:45:00	2026-06-11T22:00:00	中国国航	CA7021	公务舱	1870	5	8
FLIGHT	C039	C112	PEK	T3	CAN	T2	2026-06-11T20:10:00	2026-06-11T23:25:00	中国国航	CA7022	经济舱	720	32	36
FLIGHT	C039	C112	PEK	T3	CAN	T2	2026-06-11T20:10:00	2026-06-11T23:25:00	中国国航	CA7022	公务舱	1870	8	8
FLIGHT	C039	C112	PKX	T2	CAN	T2	2026-06-11T21:35:00	2026-06-12T00:50:00	中国国航	CA7023	经济舱	720	31	36
FLIGHT	C039	C112	PKX	T2	CAN	T2	2026-06-11T21:35:00	2026-06-12T00:50:00	中国国航	CA7023	公务舱	1870	7	8
FLIGHT	C112	C039	CAN	T2	PKX	T2	2026-06-11T17:20:00	2026-06-11T20:35:00	南方航空	CZ7030	经济舱	720	33	36
FLIGHT	C112	C039	CAN	T2	PKX	T2	2026-06-11T17:20:00	2026-06-11T20:35:00	南方航空	CZ7030	公务舱	1870	5	8
FLIGHT	C112	C039	CAN	T2	PEK	T3	2026-06-11T18:45:00	2026-06-11T22:00:00	南方航空	CZ7031	经济舱	720	32	36
FLIGHT	C112	C039	CAN	T2	PEK	T3	2026-06-11T18:45:00	2026-06-11T22:00:00	南方航空	CZ7031	公务舱	1870	8	8
FLIGHT	C112	C039	CAN	T2	PKX	T2	2026-06-11T20:10:00	2026-06-11T23:25:00	南方航空	CZ7032	经济舱	720	31	36
FLIGHT	C112	C039	CAN	T2	PKX	T2	2026-06-11T20:10:00	2026-06-11T23:25:00	南方航空	CZ7032	公务舱	1870	7	8
FLIGHT	C112	C039	CAN	T2	PEK	T3	2026-06-11T21:35:00	2026-06-12T00:50:00	南方航空	CZ7033	经济舱	720	30	36
FLIGHT	C112	C039	CAN	T2	PEK	T3	2026-06-11T21:35:00	2026-06-12T00:50:00	南方航空	CZ7033	公务舱	1870	6	8
FLIGHT	C039	C190	PEK	T3	SZX	T3	2026-06-11T17:20:00	2026-06-11T20:45:00	中国国航	CA7040	经济舱	760	32	36
FLIGHT	C039	C190	PEK	T3	SZX	T3	2026-06-11T17:20:00	2026-06-11T20:45:00	中国国航	CA7040	公务舱	1980	8	8
FLIGHT	C039	C190	PKX	T2	SZX	T3	2026-06-11T18:45:00	2026-06-11T22:10:00	中国国航	CA7041	经济舱	760	31	36
FLIGHT	C039	C190	PKX	T2	SZX	T3	2026-06-11T18:45:00	2026-06-11T22:10:00	中国国航	CA7041	公务舱	1980	7	8
FLIGHT	C039	C190	PEK	T3	SZX	T3	2026-06-11T20:10:00	2026-06-11T23:35:00	中国国航	CA7042	经济舱	760	30	36
FLIGHT	C039	C190	PEK	T3	SZX	T3	2026-06-11T20:10:00	2026-06-11T23:35:00	中国国航	CA7042	公务舱	1980	6	8
FLIGHT	C039	C190	PKX	T2	SZX	T3	2026-06-11T21:35:00	2026-06-12T01:00:00	中国国航	CA7043	经济舱	760	29	36
FLIGHT	C039	C190	PKX	T2	SZX	T3	2026-06-11T21:35:00	2026-06-12T01:00:00	中国国航	CA7043	公务舱	1980	5	8
FLIGHT	C190	C039	SZX	T3	PKX	T2	2026-06-11T17:20:00	2026-06-11T20:45:00	深圳航空	ZH7050	经济舱	760	31	36
FLIGHT	C190	C039	SZX	T3	PKX	T2	2026-06-11T17:20:00	2026-06-11T20:45:00	深圳航空	ZH7050	公务舱	1980	7	8
FLIGHT	C190	C039	SZX	T3	PEK	T3	2026-06-11T18:45:00	2026-06-11T22:10:00	深圳航空	ZH7051	经济舱	760	30	36
FLIGHT	C190	C039	SZX	T3	PEK	T3	2026-06-11T18:45:00	2026-06-11T22:10:00	深圳航空	ZH7051	公务舱	1980	6	8
FLIGHT	C190	C039	SZX	T3	PKX	T2	2026-06-11T20:10:00	2026-06-11T23:35:00	深圳航空	ZH7052	经济舱	760	29	36
FLIGHT	C190	C039	SZX	T3	PKX	T2	2026-06-11T20:10:00	2026-06-11T23:35:00	深圳航空	ZH7052	公务舱	1980	5	8
FLIGHT	C190	C039	SZX	T3	PEK	T3	2026-06-11T21:35:00	2026-06-12T01:00:00	深圳航空	ZH7053	经济舱	760	28	36
FLIGHT	C190	C039	SZX	T3	PEK	T3	2026-06-11T21:35:00	2026-06-12T01:00:00	深圳航空	ZH7053	公务舱	1980	8	8
FLIGHT	C005	C112	SHA	T2	CAN	T2	2026-06-11T17:20:00	2026-06-11T19:55:00	东方航空	MU7060	经济舱	610	30	36
FLIGHT	C005	C112	SHA	T2	CAN	T2	2026-06-11T17:20:00	2026-06-11T19:55:00	东方航空	MU7060	公务舱	1590	6	8
FLIGHT	C005	C112	PVG	T2	CAN	T2	2026-06-11T18:45:00	2026-06-11T21:20:00	东方航空	MU7061	经济舱	610	29	36
FLIGHT	C005	C112	PVG	T2	CAN	T2	2026-06-11T18:45:00	2026-06-11T21:20:00	东方航空	MU7061	公务舱	1590	5	8
FLIGHT	C005	C112	SHA	T2	CAN	T2	2026-06-11T20:10:00	2026-06-11T22:45:00	东方航空	MU7062	经济舱	610	28	36
FLIGHT	C005	C112	SHA	T2	CAN	T2	2026-06-11T20:10:00	2026-06-11T22:45:00	东方航空	MU7062	公务舱	1590	8	8
FLIGHT	C005	C112	PVG	T2	CAN	T2	2026-06-11T21:35:00	2026-06-12T00:10:00	东方航空	MU7063	经济舱	610	27	36
FLIGHT	C005	C112	PVG	T2	CAN	T2	2026-06-11T21:35:00	2026-06-12T00:10:00	东方航空	MU7063	公务舱	1590	7	8
FLIGHT	C112	C005	CAN	T2	PVG	T2	2026-06-11T17:20:00	2026-06-11T19:55:00	南方航空	CZ7070	经济舱	610	29	36
FLIGHT	C112	C005	CAN	T2	PVG	T2	2026-06-11T17:20:00	2026-06-11T19:55:00	南方航空	CZ7070	公务舱	1590	5	8
FLIGHT	C112	C005	CAN	T2	SHA	T2	2026-06-11T18:45:00	2026-06-11T21:20:00	南方航空	CZ7071	经济舱	610	28	36
FLIGHT	C112	C005	CAN	T2	SHA	T2	2026-06-11T18:45:00	2026-06-11T21:20:00	南方航空	CZ7071	公务舱	1590	8	8
FLIGHT	C112	C005	CAN	T2	PVG	T2	2026-06-11T20:10:00	2026-06-11T22:45:00	南方航空	CZ7072	经济舱	610	27	36
FLIGHT	C112	C005	CAN	T2	PVG	T2	2026-06-11T20:10:00	2026-06-11T22:45:00	南方航空	CZ7072	公务舱	1590	7	8
FLIGHT	C112	C005	CAN	T2	SHA	T2	2026-06-11T21:35:00	2026-06-12T00:10:00	南方航空	CZ7073	经济舱	610	26	36
FLIGHT	C112	C005	CAN	T2	SHA	T2	2026-06-11T21:35:00	2026-06-12T00:10:00	南方航空	CZ7073	公务舱	1590	6	8
FLIGHT	C005	C190	SHA	T2	SZX	T3	2026-06-11T17:20:00	2026-06-11T19:55:00	东方航空	MU7080	经济舱	640	28	36
FLIGHT	C005	C190	SHA	T2	SZX	T3	2026-06-11T17:20:00	2026-06-11T19:55:00	东方航空	MU7080	公务舱	1660	8	8
FLIGHT	C005	C190	PVG	T2	SZX	T3	2026-06-11T18:45:00	2026-06-11T21:20:00	东方航空	MU7081	经济舱	640	27	36
FLIGHT	C005	C190	PVG	T2	SZX	T3	2026-06-11T18:45:00	2026-06-11T21:20:00	东方航空	MU7081	公务舱	1660	7	8
FLIGHT	C005	C190	SHA	T2	SZX	T3	2026-06-11T20:10:00	2026-06-11T22:45:00	东方航空	MU7082	经济舱	640	26	36
FLIGHT	C005	C190	SHA	T2	SZX	T3	2026-06-11T20:10:00	2026-06-11T22:45:00	东方航空	MU7082	公务舱	1660	6	8
FLIGHT	C005	C190	PVG	T2	SZX	T3	2026-06-11T21:35:00	2026-06-12T00:10:00	东方航空	MU7083	经济舱	640	25	36
FLIGHT	C005	C190	PVG	T2	SZX	T3	2026-06-11T21:35:00	2026-06-12T00:10:00	东方航空	MU7083	公务舱	1660	5	8
FLIGHT	C190	C005	SZX	T3	PVG	T2	2026-06-11T17:20:00	2026-06-11T19:55:00	深圳航空	ZH7090	经济舱	640	27	36
FLIGHT	C190	C005	SZX	T3	PVG	T2	2026-06-11T17:20:00	2026-06-11T19:55:00	深圳航空	ZH7090	公务舱	1660	7	8
FLIGHT	C190	C005	SZX	T3	SHA	T2	2026-06-11T18:45:00	2026-06-11T21:20:00	深圳航空	ZH7091	经济舱	640	26	36
FLIGHT	C190	C005	SZX	T3	SHA	T2	2026-06-11T18:45:00	2026-06-11T21:20:00	深圳航空	ZH7091	公务舱	1660	6	8
FLIGHT	C190	C005	SZX	T3	PVG	T2	2026-06-11T20:10:00	2026-06-11T22:45:00	深圳航空	ZH7092	经济舱	640	25	36
FLIGHT	C190	C005	SZX	T3	PVG	T2	2026-06-11T20:10:00	2026-06-11T22:45:00	深圳航空	ZH7092	公务舱	1660	5	8
FLIGHT	C190	C005	SZX	T3	SHA	T2	2026-06-11T21:35:00	2026-06-12T00:10:00	深圳航空	ZH7093	经济舱	640	24	36
FLIGHT	C190	C005	SZX	T3	SHA	T2	2026-06-11T21:35:00	2026-06-12T00:10:00	深圳航空	ZH7093	公务舱	1660	8	8
FLIGHT	C039	C128	PEK	T3	TFU	T2	2026-06-11T17:20:00	2026-06-11T20:20:00	中国国航	CA7100	经济舱	690	26	36
FLIGHT	C039	C128	PEK	T3	TFU	T2	2026-06-11T17:20:00	2026-06-11T20:20:00	中国国航	CA7100	公务舱	1790	6	8
FLIGHT	C039	C128	PKX	T2	CTU	T2	2026-06-11T18:45:00	2026-06-11T21:45:00	中国国航	CA7101	经济舱	690	25	36
FLIGHT	C039	C128	PKX	T2	CTU	T2	2026-06-11T18:45:00	2026-06-11T21:45:00	中国国航	CA7101	公务舱	1790	5	8
