type	departureCityId	arrivalCityId	departureStationCode	departureTerminalName	arrivalStationCode	arrivalTerminalName	departureDateTime	arrivalDateTime	carrier	code	seatClass	price	remainingSeats	totalSeats	departureStationName	arrivalStationName
FLIGHT	C039	C005	PEK	T3	SHA	T2	2026-05-30T08:30:00	2026-05-30T10:55:00	中国国航	CA1501	经济舱	370	18	18	北京首都国际机场	上海虹桥国际机场
FLIGHT	C039	C005	PEK	T2	SHA	T2	2026-02-25T08:25:00	2026-02-25T10:35:00	海南航空	HU7603	经济舱	520	9	9	北京首都国际机场	上海虹桥国际机场
FLIGHT	C039	C005	PEK	T2	PVG	T2	2026-03-29T07:30:00	2026-03-29T09:45:00	海南航空	HU7613	经济舱	460	4	4	北京首都国际机场	上海浦东国际机场
FLIGHT	C039	C005	PEK	T2	PVG	T1	2026-06-01T07:00:00	2026-06-01T08:55:00	东方航空	MU5100	经济舱	490	13	13	北京首都国际机场	上海浦东国际机场
FLIGHT	C005	C039	SHA	T2	PEK	T2	2026-05-11T11:15:00	2026-05-11T13:30:00	海南航空	HU7604	经济舱	520	16	16	上海虹桥国际机场	北京首都国际机场
FLIGHT	C039	C112	PKX		CAN	T2	2026-06-01T12:30:00	2026-06-01T15:40:00	南方航空	CZ3102	经济舱	850	20	20	北京大兴国际机场	广州白云国际机场
FLIGHT	C039	C190	PEK	T2	SZX		2026-05-11T20:30:00	2026-05-11T23:50:00	海南航空	HU7713	经济舱	900	7	7	北京首都国际机场	深圳宝安国际机场
FLIGHT	C005	C112	SHA		CAN		2026-03-01T07:30:00	2026-03-01T10:05:00	东方航空	MU5301	经济舱	680	14	14	上海虹桥国际机场	广州白云国际机场
FLIGHT	C005	C082	SHA	T2	TSN	T2	2026-06-01T18:25:00	2026-06-01T20:40:00	东方航空	MU5143	经济舱	480	6	6	上海虹桥国际机场	天津滨海国际机场
FLIGHT	C039	C082	PEK		TSN		2026-05-01T07:14:00	2026-05-01T08:24:00	南方航空	CZ1002	经济舱	280	5	5	北京首都国际机场	天津滨海国际机场
FLIGHT	C039	C272	PEK		CKG		2026-05-01T07:51:00	2026-05-01T11:12:00	海南航空	HU1003	经济舱	890	6	6	北京首都国际机场	重庆江北国际机场
FLIGHT	C039	C220	PEK		SJW		2026-05-01T08:28:00	2026-05-01T09:49:00	中国国航	CA1004	经济舱	350	7	7	北京首都国际机场	石家庄正定国际机场
FLIGHT	C039	C083	PEK		TYN		2026-05-01T09:05:00	2026-05-01T10:40:00	东方航空	MU1005	经济舱	420	8	8	北京首都国际机场	太原武宿国际机场
FLIGHT	C039	C061	PEK		HET		2026-05-01T09:42:00	2026-05-01T11:18:00	南方航空	CZ1006	经济舱	420	9	9	北京首都国际机场	呼和浩特白塔国际机场
FLIGHT	C039	C172	PEK		SHE		2026-05-01T10:19:00	2026-05-01T12:17:00	海南航空	HU1007	经济舱	520	10	10	北京首都国际机场	沈阳桃仙国际机场
FLIGHT	C039	C283	PEK		CGQ		2026-05-01T10:56:00	2026-05-01T13:17:00	中国国航	CA1008	经济舱	620	11	11	北京首都国际机场	长春龙嘉国际机场
FLIGHT	C039	C066	PEK		HRB		2026-05-01T11:33:00	2026-05-01T14:13:00	东方航空	MU1009	经济舱	710	12	12	北京首都国际机场	哈尔滨太平国际机场
FLIGHT	C039	C042	PEK		NKG		2026-05-01T12:10:00	2026-05-01T14:35:00	南方航空	CZ1010	经济舱	640	13	13	北京首都国际机场	南京禄口国际机场
FLIGHT	C039	C153	PEK		HGH		2026-05-01T12:47:00	2026-05-01T15:34:00	海南航空	HU1011	经济舱	750	14	14	北京首都国际机场	杭州萧山国际机场
FLIGHT	C039	C053	PEK		HFE		2026-05-01T13:24:00	2026-05-01T15:49:00	中国国航	CA1012	经济舱	650	15	15	北京首都国际机场	合肥新桥国际机场
FLIGHT	C039	C221	PEK		FOC		2026-05-01T14:01:00	2026-05-01T17:32:00	东方航空	MU1013	经济舱	950	16	16	北京首都国际机场	福州长乐国际机场
FLIGHT	C039	C046	PEK				2026-05-01T14:38:00	2026-05-01T17:38:00	南方航空	CZ1014	经济舱	810	17	17	北京首都国际机场	南昌昌北国际机场
FLIGHT	C039	C180	PEK		TNA		2026-05-01T15:15:00	2026-05-01T16:46:00	海南航空	HU1015	经济舱	410	18	18	北京首都国际机场	济南遥墙国际机场
FLIGHT	C039	C267	PEK		CGO		2026-05-01T15:52:00	2026-05-01T17:49:00	中国国航	CA1016	经济舱	530	19	19	北京首都国际机场	郑州新郑国际机场
