name	city
一间堡	长春市
一面坡	哈尔滨市
一面坡北	哈尔滨市
一面山	丹东市
七台河	七台河市
七甸	昆明市
七营	中卫市
七里河	锦州市
万乐	哈尔滨市
万发屯	绥化市
万宁	海南省-自治区直辖县级行政区划
万州	重庆市
万州北	重庆市
万年	上饶市
万源	达州市
三义井	赤峰市
三井子	松原市
三亚	三亚市
三元区	三明市
三关口	固原市
三十家	朝阳市
三十里堡	大连市
三原	咸阳市
三合庄	北京市
三堂集	阜阳市
三家寨	六盘水市
三家店	北京市
三明	三明市
三明北	三明市
三水	佛山市
三水北	佛山市
三水南	佛山市
三汇镇	达州市
三江南	柳州市
三江县	柳州市
三江口	铁岭市
三河县	廊坊市
三源浦	通化市
三穗	黔东南苗族侗族自治州
三营	固原市
三道湖	白山市
三都县	黔南布依族苗族自治州
三门县	台州市
三门峡	三门峡市
三门峡南	三门峡市
三门峡西	三门峡市
三间房	齐齐哈尔市
三阳	黄山市
三阳川	天水市
上万	北京市
上园	朝阳市
上杭	龙岩市
上板城	承德市
上板城南	承德市
上海	上海市
上海南	上海市
上海虹桥	上海市
上海西	上海市
上腰墩	武威市
上虞	绍兴市
上西铺	六盘水市
上饶	上饶市
上高镇	泰安市
下台子	承德市
下城子	牡丹江市
下板城	承德市
下社	忻州市
下花园	张家口市
下马塘	本溪市
世博园	沈阳市
东丰	辽源市
东乡	抚州市
东二道河	佳木斯市
东京城	牡丹江市
东光	沧州市
东升	中山市
东台	盐城市
东城南	东莞市
东安东	永州市
东岔	天水市
东庄	忻州市
东戌	邯郸市
东戴河	葫芦岛市
东方	海南省-自治区直辖县级行政区划
东方红	鸡西市
东明县	菏泽市
东明村	通辽市
东来	通辽市
东津	绥化市
东海	鸡西市
东海县	连云港市
东淤地	忻州市
东港北	丹东市
东湾	白银市
东胜	鄂尔多斯市
东胜东	鄂尔多斯市
东胜西	鄂尔多斯市
东至	池州市
东莞	东莞市
东莞东	东莞市
东营	东营市
东营南	东营市
东辛庄	葫芦岛市
东边井	绥化市
东通化	通化市
东镇	运城市
两家	白城市
两当	陇南市
中华门	南京市
中卫	中卫市
中和	齐齐哈尔市
中宁	中卫市
中宁东	中卫市
中宁南	中卫市
中寨	曲靖市
中山	中山市
中山北	中山市
中川机场	兰州市
中牟	郑州市
丰乐镇	双鸭山市
丰城	宜春市
丰城南	宜春市
丰水村	兰州市
丰都	重庆市
丰镇	乌兰察布市
丰顺	梅州市
临城	邢台市
临川	抚州市
临江	白山市
临汾	临汾市
临汾西	临汾市
临沂	临沂市
临沂东	临沂市
临河	巴彦淖尔市
临泽	张掖市
临泽南	张掖市
临海	台州市
临淄北	淄博市
临清	聊城市
临湘	岳阳市
临澧	常德市
临西	邢台市
临邑	德州市
临颍	漯河市
临高南	海南省-自治区直辖县级行政区划
丹东	丹东市
丹东西	丹东市
丹凤	商洛市
丹徒	镇江市
丹阳	镇江市
丹阳北	镇江市
丹霞山	韶关市
丽水	丽水市
丽江	丽江市
乃林	赤峰市
义乌	金华市
义县	锦州市
义县西	锦州市
义马	三门峡市
乌伊岭	伊春市
乌兰哈达	乌兰察布市
乌兰察布	乌兰察布市
乌兰木图	阜新市
乌兰浩特	兴安盟
乌奴耳	呼伦贝尔市
乌尔旗汗	呼伦贝尔市
乌拉山	巴彦淖尔市
乌拉特前旗	巴彦淖尔市
乌海	乌海市
乌海西	乌海市
乌苏	塔城地区
乌西	乌鲁木齐市
乌鲁木齐	乌鲁木齐市
乌鲁木齐南	乌鲁木齐市
乌龙泉南	武汉市
乐东	海南省-自治区直辖县级行政区划
乐善村	昆明市
乐山	乐山市
乐山北	乐山市
乐平市	景德镇市
乐昌	韶关市
乐昌东	韶关市
乐清	温州市
乐都	海东市
乐都南	海东市
乔庄东	北京市
九三	黑河市
九台	长春市
九台南	长春市
九江	九江市
九郎山	株洲市
乳山	威海市
乾县	咸阳市
乾安	松原市
二密河	通化市
二营	固原市
二连	锡林郭勒盟
二道沟门	承德市
二道湾	齐齐哈尔市
二龙	赤峰市
二龙山屯	黑河市
于都	赣州市
云东海	佛山市
云南驿	大理白族自治州
云居寺	北京市
云山	惠州市
云彩岭	大同市
云梦	孝感市
云浮东	云浮市
云霄	漳州市
五五	克拉玛依市
五原	巴彦淖尔市
五叉沟	兴安盟
五台山	忻州市
五大连池	黑河市
五女山	本溪市
五家	哈尔滨市
五寨	忻州市
五常	哈尔滨市
五府山	上饶市
五棵树	长春市
五莲	日照市
五营	伊春市
五通	桂林市
五道沟	通化市
五道河	承德市
五龙背	丹东市
五龙背东	丹东市
井冈山	吉安市
井南	石家庄市
井店	邯郸市
井陉	石家庄市
亚布力	哈尔滨市
亚布力南	哈尔滨市
亚布力西	哈尔滨市
亚龙湾	三亚市
交城	吕梁市
京山	荆门市
亭亮	崇左市
亮甲店	大连市
亳州	亳州市
什里店	邯郸市
仁布	日喀则市
介休	晋中市
介休东	晋中市
从江	黔东南苗族侗族自治州
仙人桥	白山市
仙林	南京市
仙桃西	湖北省-自治区直辖县级行政区划
仙游	莆田市
代县	忻州市
仪征	扬州市
仲恺	惠州市
任丘	沧州市
伊图里河	呼伦贝尔市
伊宁	伊犁哈萨克自治州
伊宁东	伊犁哈萨克自治州
伊尔施	兴安盟
伊拉哈	黑河市
伊敏	呼伦贝尔市
伊春	伊春市
伊林	牡丹江市
伊通	四平市
会同	怀化市
会昌北	赣州市
低庄	怀化市
低窝铺	酒泉市
余姚	宁波市
余姚北	宁波市
余杭	杭州市
余江	鹰潭市
余粮堡	通辽市
佛坪	汉中市
佛山	佛山市
佛山西	佛山市
佳木斯	佳木斯市
佳木斯西	佳木斯市
依兰	哈尔滨市
依安	齐齐哈尔市
侯马	临汾市
侯马西	临汾市
保定	保定市
保定东	保定市
保康	通辽市
信丰	赣州市
信宜	茂名市
信阳	信阳市
信阳东	信阳市
修文县	贵阳市
修武	焦作市
修武西	焦作市
倭肯	七台河市
偃师	洛阳市
偏岭	本溪市
偏店	邯郸市
元宝山	赤峰市
元氏	石家庄市
元谋	楚雄彝族自治州
先锋	长沙市
光山	信阳市
光明城	深圳市
光泽	南平市
克一河	呼伦贝尔市
克东	齐齐哈尔市
克山	齐齐哈尔市
克拉玛依	克拉玛依市
免渡河	呼伦贝尔市
兑镇	吕梁市
兖州	济宁市
全州南	桂林市
全椒	滁州市
八仙筒	通辽市
八方山	长沙市
八步	毕节市
八角台	锦州市
八达岭	北京市
八里甸子	本溪市
八面城	铁岭市
八面通	牡丹江市
公主岭	长春市
公主岭南	长春市
公庙子	巴彦淖尔市
公营子	朝阳市
六合	南京市
六合镇	齐齐哈尔市
六安	六安市
六枝	六盘水市
六盘山	固原市
六盘水	六盘水市
六道河子	承德市
兰岗	牡丹江市
兰州	兰州市
兰州东	兰州市
兰州新区	兰州市
兰州西	兰州市
兰棱	哈尔滨市
兰溪	金华市
兰考	开封市
兰考南	开封市
兰陵北	临沂市
共青城	九江市
关岭	安顺市
关林	洛阳市
兴业	玉林市
兴义	黔西南布依族苗族自治州
兴凯	鸡西市
兴和西	乌兰察布市
兴国	赣州市
兴城	葫芦岛市
兴宁	梅州市
兴安	桂林市
兴安北	桂林市
兴平	咸阳市
兴泉堡	白银市
兴隆县	承德市
兴隆店	沈阳市
兴隆镇	哈尔滨市
内乡	南阳市
内江	内江市
内江北	内江市
册亨	黔西南布依族苗族自治州
冕宁	凉山彝族自治州
军粮城北	天津市
农安	长春市
冠豸山	龙岩市
冯屯	齐齐哈尔市
冷水江东	娄底市
准东	昌吉回族自治州
准格尔	鄂尔多斯市
凌海	锦州市
凌源	朝阳市
