type	departureCity	arrivalCity	departureStation	arrivalStation	departureTime	arrivalTime	carrier	code	seatClass	price	remainingSeats	studentEligible	referenceDate	sourceUrl	sourceNote
FLIGHT	北京	上海	北京首都国际机场 T3	上海虹桥国际机场 T2	08:30	10:55	中国国航	CA1501	经济舱	370	18	false	2026-05-30	https://tw.trip.com/flights/status-ca1501/	航班号和时刻来自已展示航班动态；价格采用携程移动机票页曾展示的北京飞上海最低参考价。
FLIGHT	北京	上海	北京首都国际机场 T2	上海虹桥国际机场 T2	08:25	10:35	海南航空	HU7603	经济舱	520	9	false	2026-02-25	https://www.flight.info/HU7603	航班号、机场和时刻来自历史航班时刻页面；价格为演示用历史参考档位。
FLIGHT	北京	上海	北京首都国际机场 T2	上海浦东国际机场 T2	07:30	09:45	海南航空	HU7613	经济舱	460	4	false	2026-03-29	https://www.flight.info/HU7613	航班号、机场和时刻来自历史航班时刻页面；价格为演示用历史参考档位。
FLIGHT	北京	上海	北京首都国际机场 T2	上海浦东国际机场 T1	07:00	08:55	东方航空	MU5100	经济舱	490	13	false	2026-06-01	https://www.flight.info/MU5100	航班号、机场和时刻来自历史航班时刻页面；价格为演示用历史参考档位。
FLIGHT	上海	北京	上海虹桥国际机场 T2	北京首都国际机场 T2	11:15	13:30	海南航空	HU7604	经济舱	520	16	false	2026-05-11	https://www.flight.info/HU7604	航班号、机场和时刻来自历史航班时刻页面；价格为演示用历史参考档位。
FLIGHT	北京	广州	北京大兴国际机场	广州白云国际机场 T2	12:30	15:40	南方航空	CZ3102	经济舱	850	20	false	2026-06-01	https://www.flight.info/CZ3102	航班号、机场和时刻来自历史航班时刻页面；价格为演示用历史参考档位。
FLIGHT	北京	深圳	北京首都国际机场 T2	深圳宝安国际机场	20:30	23:50	海南航空	HU7713	经济舱	900	7	false	2026-05-11	https://www.flight.info/HU7713	航班号、机场和时刻来自历史航班时刻页面；价格为演示用历史参考档位。
FLIGHT	上海	广州	上海虹桥国际机场	广州白云国际机场	07:30	10:05	东方航空	MU5301	经济舱	680	14	false	2026-03-01	https://jipiao.cncn.com/mobile/flight_MU5301.html	航班号、机场和时刻来自历史航班时刻页面；价格为演示用历史参考档位。
FLIGHT	上海	天津	上海虹桥国际机场 T2	天津滨海国际机场 T2	18:25	20:40	东方航空	MU5143	经济舱	480	6	false	2026-06-01	https://www.flight.info/MU5143	航班号、机场和时刻来自历史航班时刻页面；价格为演示用历史参考档位。
FLIGHT	北京	满洲里	北京首都国际机场 T2	满洲里西郊机场	17:15	19:40	海南航空	HU7673	经济舱	760	3	false	2026-06-02	https://www.flight.info/HU7673	航班号、机场和时刻来自历史航班时刻页面；价格为演示用历史参考档位。
TRAIN	北京	上海	北京南站	上海虹桥站	09:00	13:28	中国铁路	G1	二等座	553	28	true	2025-11-01	https://www.123cha.com/train/?q=G1	车次、运行区间和二等座历史参考价来自公开列车查询页面。
TRAIN	北京	上海	北京南站	上海虹桥站	09:00	13:28	中国铁路	G1	一等座	933	12	true	2025-11-01	https://www.123cha.com/train/?q=G1	车次、运行区间和一等座历史参考价来自公开列车查询页面。
TRAIN	北京	上海	北京南站	上海虹桥站	09:00	13:28	中国铁路	G1	商务座	1748	5	false	2025-11-01	https://www.123cha.com/train/?q=G1	车次、运行区间和商务座历史参考价来自公开列车查询页面。
TRAIN	上海	北京	上海虹桥站	北京南站	09:00	13:49	中国铁路	G2	二等座	553	22	true	2025-11-01	https://zh.wikipedia.org/wiki/G1/2%E6%AC%A1%E5%88%97%E8%BD%A6	G1/G2 是京沪高铁实际运行车次；价格沿用京沪全程二等座历史参考档位。
TRAIN	北京	广州	北京西站	广州南站	10:00	17:59	中国铁路	G79	二等座	862	19	true	2026-05-01	https://www.chinaviki.com/service/china-train/html/train-G79.html	车次、时刻和票价来自公开列车信息页面。
TRAIN	北京	广州	北京西站	广州南站	10:00	17:59	中国铁路	G79	一等座	1380	8	true	2026-05-01	https://www.chinaviki.com/service/china-train/html/train-G79.html	车次、时刻和票价来自公开列车信息页面。
TRAIN	北京	广州	北京西站	广州南站	10:00	17:59	中国铁路	G79	商务座	2724	2	false	2026-05-01	https://www.chinaviki.com/service/china-train/html/train-G79.html	车次、时刻和票价来自公开列车信息页面。
TRAIN	北京	杭州	北京南站	杭州东站	07:56	12:33	中国铁路	G31	二等座	674	17	true	2025-10-22	https://www.liecheba.com/g31.html	车次、时刻和票价来自公开列车信息页面。
TRAIN	上海	苏州	上海虹桥站	苏州站	11:11	11:42	中国铁路	G7384	二等座	40	26	true	2025-01-01	https://aqis-conf.org/archives/aqis12/images/HongQiao_Airport_Terminal_2_to_Suzhou__train_.pdf	车次、时刻和票价来自公开交通指引 PDF。
TRAIN	上海	温州	上海虹桥站	温州南站	06:15	09:40	中国铁路	G7331	二等座	215	11	true	2026-05-01	https://train.hao86.com/G7331/	车次、途经站点和票价来自公开列车信息页面。
FLIGHT	北京	天津	北京首都国际机场	天津滨海国际机场	07:14	08:24	南方航空	CZ1002	经济舱	280	5	false	2026-05-01	https://wap.ctrip.com/html5/flight/?orphanapp=1	全国覆盖演示模板 generated:nationwide-v1：城市、机场和距离分档用于扩展查询覆盖；班次号、时刻与价格为可重复生成的演示数据，不是实时库存或售卖报价。
