trainNumber	trainType	originDepartureTime
D1	D	65220
D2	D	32040
D3	D	65760
D4	D	26940
D6	D	44160
D7	D	63780
D9	D	47940
D10	D	30780
D11	D	45780
D12	D	24120
D13	D	67980
D14	D	29940
D17	D	33300
D18	D	53640
D19	D	51480
D20	D	40380
D21	D	23940
D22	D	45840
D23	D	55980
D24	D	27960
D25	D	37680
D26	D	26220
D27	D	54900
D28	D	24960
D29	D	23640
D30	D	46440
D31/D34	D	33660
D32/D33	D	53160
D35/D38	D	38160
D36/D37	D	57060
D39/D42	D	60600
D40/D41	D	35400
D43/D46	D	52680
D44/D45	D	24900
D48/D49	D	48960
D50	D	24300
D51	D	61980
D52	D	34200
D55	D	30360
D56	D	30180
D73	D	52080
D74	D	37200
D101	D	49920
D102	D	38580
D111/D114	D	54180
D112/D113	D	27720
D115/D118	D	34380
D116/D117	D	50040
D119	D	27360
D120	D	38700
D121	D	53220
D122	D	67800
D123/D126	D	27000
D124/D125	D	36480
D127/D130	D	46620
D128/D129	D	63660
D131/D134	D	67440
D132/D133	D	24120
D135/D138	D	32940
D136/D137	D	49260
D201	D	32460
D202	D	32520
D203	D	44040
D204	D	43800
D205	D	55260
D206	D	55320
D207	D	66600
D208	D	66600
D211	D	28800
D212	D	50400
D213	D	49680
D214	D	32400
D295/D298	D	30240
D296	D	38760
D305/D308	D	70500
D306/D307	D	82200
D335	D	81720
D336	D	76800
D351/D354	D	29520
D352/D353	D	22380
D361	D	44700
D362	D	32160
D365/D368	D	39300
D366/D367	D	27480
D377	D	27960
D378	D	29880
D381	D	53100
D382	D	27420
D618/D619	D	32040
D623	D	28800
D624	D	57300
D625	D	30360
D626	D	46980
D629	D	34320
D630	D	59340
D631/D634	D	48780
D632/D633	D	23100
D635/D638	D	25620
D636/D637	D	23580
D655/D658	D	26760
D656/D657	D	24300
D671	D	65760
D672	D	58620
D673	D	43080
D674	D	27060
D675	D	22800
D676	D	67860
D678	D	69840
D682	D	24000
D683	D	49020
D684	D	44400
D685	D	38820
D687	D	50100
D688	D	34980
D689	D	30660
D690	D	66960
D691	D	63840
D692	D	47760
D701	D	69720
D702	D	68940
D704	D	77460
D705	D	76860
D706	D	76680
D709	D	71160
D710	D	77040
D711	D	76500
D712	D	72300
D715	D	81840
D716	D	77340
D717	D	69360
D718	D	63120
D751	D	23760
D752	D	54600
D753	D	58800
D754	D	33060
D761/D764	D	52860
D762/D763	D	25860
D951/D954	D	28800
D952/D953	D	30600
D955/D958	D	28740
D956/D957	D	34200
D959	D	48600
D960	D	32640
D1601	D	32340
D1603	D	51780
D1604	D	42480
D1606	D	62220
D1611	D	28800
D1612	D	48300
D1615	D	52620
D1616	D	33540
D1621	D	27120
D1622	D	54060
D1623	D	30120
D1624	D	56760
D1625	D	59700
D1626	D	25200
D1631/D1634	D	32280
D1632/D1633	D	57480
D1635/D1638	D	41880
D1636/D1637	D	26880
D1643/D1646	D	59760
D1644/D1645	D	32640
D1691	D	33000
D1692	D	58200
D1701/D1704	D	29580
D1702/D1703	D	28920
D1705/D1708	D	58200
D1706/D1707	D	58020
D1779	D	27480
D1780	D	30480
D1781	D	25920
D1782	D	25680
D1785	D	39660
D1786	D	33900
D1791	D	29280
D1792	D	28500
D1793	D	28080
D1794	D	49020
D1795	D	57840
D1796	D	57060
D1797	D	27000
D1801	D	30000
D1806/D1807	D	29520
D1809/D1812	D	28380
D1810	D	33600
D1817/D1820	D	36900
D1818/D1819	D	37920
D1821/D1824	D	38340
D1822	D	39600
D1825	D	45480
D1826	D	45000
D1833	D	51180
D1834/D1835	D	47880
D1837	D	56520
D1838	D	30480
D1841	D	24000
D1842	D	27780
D1849/D1852	D	26580
D1850/D1851	D	40320
D1853/D1856	D	35040
D1854/D1855	D	26280
D1857/D1860	D	46200
D1858/D1859	D	33480
D1861	D	26340
D1862	D	25200
D1864	D	28920
D1865	D	32040
D1867	D	36300
D1868	D	42600
D1869	D	37560
D1870	D	43320
D1871	D	50880
D1872	D	51960
D1874	D	54600
D1875	D	53280
D1877	D	58200
D1878	D	58260
D1881/D1884	D	43980
D1882/D1883	D	32760
D1901	D	26340
D1905	D	58800
D1906	D	55380
D1911	D	25800
D1912	D	26880
D1913	D	28200
D1914	D	27960
D1915	D	30300
D1917	D	32400
D1918	D	32400
D1919	D	33720
D1920	D	33540
D1921	D	34080
D1922	D	36780
D1923	D	36000
D1924	D	41880
D1925	D	37980
D1926	D	43680
D1927	D	41700
D1928	D	45900
D1929	D	42000
D1930	D	46800
D1931	D	44460
D1932	D	49860
D1933	D	46620
D1934	D	50400
D1935	D	47760
D1936	D	52200
D1937	D	50400
D1938	D	54420
D1939	D	52380
D1940	D	56340
D1941	D	54900
D1942	D	59940
D1943	D	58560
D1944	D	61740
D1946	D	62820
D1947	D	64800
D1948	D	64680
D1949	D	65880
D1950	D	65220
D1951	D	67380
D1952	D	68580
D1953/D1956	D	28080
D1954/D1955	D	29640
D1957/D1960	D	36420
D1958/D1959	D	37020
D1961/D1964	D	44100
D1962/D1963	D	42840
D1965/D1968	D	31140
D1969/D1972	D	32580
D1970/D1971	D	30720
