trainNumber	stopOrder	station	arrivalTime	departureTime
D1	0	北京	0	0
D1	1	唐山北	4260	4380
D1	2	北戴河	7740	7860
D1	3	沈阳	18960	19260
D1	4	沈阳南	19980	0
D2	0	沈阳南	0	0
D2	1	沈阳	720	1020
D2	2	辽中	2940	3000
D2	3	锦州南	6060	6120
D2	4	唐山北	14460	14580
D2	5	北京	18840	0
D3	0	北京	0	0
D3	1	蓟州	2520	2640
D3	2	北戴河	7560	7680
D3	3	葫芦岛北	12000	12060
D3	4	锦州南	13260	13320
D3	5	盘锦北	15060	15120
D3	6	沈阳	19140	19440
D3	7	沈阳南	20100	0
D4	0	沈阳南	0	0
D4	1	沈阳	660	960
D4	2	盘锦北	4620	4740
D4	3	锦州南	6180	6240
D4	4	葫芦岛北	7380	7920
D4	5	北戴河	11940	12000
D4	6	唐山北	15420	15540
D4	7	北京	19800	0
D6	0	沈阳北	0	0
D6	1	台安	2340	2400
D6	2	盘锦北	3600	3720
D6	3	锦州南	5220	5340
D6	4	秦皇岛	9540	9720
D6	5	北戴河	10740	10860
D6	6	北京	18420	0
D7	0	北京	0	0
D7	1	唐山北	4140	4260
D7	2	山海关	9480	9660
D7	3	葫芦岛北	12240	12360
D7	4	盘锦北	15120	15180
D7	5	沈阳北	19020	0
D9	0	北京	0	0
D9	1	北戴河	7380	7500
D9	2	绥中北	10620	10680
D9	3	锦州南	12780	12840
D9	4	盘锦北	14340	14400
D9	5	台安	15600	15660
D9	6	沈阳	18120	18420
D9	7	沈阳南	19140	0
D10	0	沈阳南	0	0
D10	1	沈阳	720	1140
D10	2	盘锦北	4620	4680
D10	3	葫芦岛北	6960	7020
D10	4	绥中北	8340	8400
D10	5	北戴河	11400	11520
D10	6	北京	18960	0
D11	0	北京	0	0
D11	1	唐山北	4140	4260
D11	2	北戴河	7560	7680
D11	3	葫芦岛北	11880	11940
D11	4	锦州南	12960	13020
D11	5	沈阳	17700	17940
D11	6	沈阳南	18660	0
D12	0	沈阳南	0	0
D12	1	沈阳	720	1200
D12	2	锦州南	6600	6660
D12	3	葫芦岛北	7680	7740
D12	4	绥中北	9060	9120
D12	5	山海关	10560	10680
D12	6	北戴河	12420	12540
